Date,Region,Area,Unemployment_Rate,Employed,Labour_Participation_Rate
18-02-2025,Tamil Nadu,Rural,18.67,909942,41.12
19-02-2025,Karnataka,Rural,9.62,3979275,37.76
20-02-2025,Tamil Nadu,Urban,29.24,796358,65.19
21-02-2025,West Bengal,Urban,24.38,3695790,56.3
22-02-2025,Rajasthan,Urban,28.49,1941648,42.44
23-02-2025,Maharashtra,Rural,27.37,1788472,59.69
24-02-2025,Uttar Pradesh,Urban,19.95,3928433,62.6
25-02-2025,West Bengal,Urban,28.05,2835264,54.6
26-02-2025,Maharashtra,Rural,7.21,4548748,57.52
27-02-2025,Delhi,Urban,9.9,2800713,45.01
28-02-2025,Gujarat,Rural,6.13,2408989,51.55
01-03-2025,West Bengal,Urban,13.13,4237270,50.97
02-03-2025,Karnataka,Urban,14.72,4417922,63.92
03-03-2025,Gujarat,Urban,11.78,4215625,63.6
04-03-2025,Gujarat,Urban,25.72,559297,63.31
05-03-2025,Delhi,Rural,13.92,1120154,30.44
06-03-2025,Karnataka,Rural,12.02,4177151,59.98
07-03-2025,Maharashtra,Urban,18.57,4834963,60.35
08-03-2025,Uttar Pradesh,Rural,8.52,2903696,57.14
09-03-2025,Karnataka,Rural,25.05,2193373,60.25
10-03-2025,Karnataka,Urban,6.86,2472280,63.68
11-03-2025,West Bengal,Urban,29.67,3016623,48.81
12-03-2025,Maharashtra,Rural,24.31,2806871,50.08
13-03-2025,Gujarat,Rural,9.97,970123,34.99
14-03-2025,Delhi,Urban,5.14,3086249,45.42
15-03-2025,Delhi,Rural,25.39,1959582,55.73
16-03-2025,Rajasthan,Urban,22.67,4544499,61.22
17-03-2025,Delhi,Urban,23.23,2229885,38.69
18-03-2025,West Bengal,Rural,24.28,4820642,35.51
19-03-2025,Gujarat,Urban,6.85,2307148,56.52
20-03-2025,Rajasthan,Rural,13.96,4852525,30.08
21-03-2025,West Bengal,Rural,7.9,649239,37.13
22-03-2025,Delhi,Urban,26.58,656701,31.16
23-03-2025,Delhi,Urban,20.58,3147569,36.68
24-03-2025,Karnataka,Rural,13.27,4728120,37.25
25-03-2025,Karnataka,Rural,6.59,1370464,45.51
26-03-2025,Karnataka,Urban,12.77,885332,46.09
27-03-2025,West Bengal,Urban,13.13,867950,64.97
28-03-2025,West Bengal,Rural,23.24,266472,50.4
29-03-2025,Tamil Nadu,Urban,20.94,497710,58.94
30-03-2025,Gujarat,Rural,27.18,4417048,34.17
31-03-2025,Delhi,Urban,16.81,3288729,39.02
01-04-2025,Maharashtra,Urban,7.99,4885956,58.12
02-04-2025,Uttar Pradesh,Rural,22.83,2950171,32.11
03-04-2025,Delhi,Rural,24.02,1010775,49.46
04-04-2025,Rajasthan,Urban,19.03,2696874,53.97
05-04-2025,West Bengal,Urban,24.27,658924,54.09
06-04-2025,Karnataka,Rural,17.34,3981185,30.92
07-04-2025,West Bengal,Rural,18.07,4473656,42.88
08-04-2025,Tamil Nadu,Rural,15.69,4112595,55.46
09-04-2025,Uttar Pradesh,Rural,5.64,2390435,35.96
10-04-2025,Tamil Nadu,Rural,7.7,531413,57.82
11-04-2025,Uttar Pradesh,Rural,5.79,1452564,59.84
12-04-2025,Karnataka,Rural,20.91,2524050,69.28
13-04-2025,Rajasthan,Rural,12.86,4265100,38.39
14-04-2025,Gujarat,Urban,17.71,963561,63.01
15-04-2025,Gujarat,Rural,27.69,402186,50.81
16-04-2025,Delhi,Urban,11.23,3307393,44.94
17-04-2025,West Bengal,Rural,15.26,3928464,34.9
18-04-2025,Delhi,Rural,23.89,1126553,59.42
19-04-2025,Delhi,Rural,10.72,1335202,39.43
20-04-2025,West Bengal,Urban,6.92,245271,44.86
21-04-2025,West Bengal,Rural,12.24,2315685,32.5
22-04-2025,Delhi,Urban,9.03,3843797,62.05
23-04-2025,West Bengal,Rural,28.24,1614542,60.66
24-04-2025,Tamil Nadu,Urban,25.2,4280656,59.34
25-04-2025,Maharashtra,Rural,20.84,3030184,41.98
26-04-2025,Rajasthan,Rural,26.79,176898,36.94
27-04-2025,Karnataka,Rural,25.09,3395097,55.5
28-04-2025,West Bengal,Rural,9.66,388316,49.85
29-04-2025,Delhi,Rural,27.31,2108954,37.13
30-04-2025,Tamil Nadu,Urban,18.48,1929553,57.44
01-05-2025,West Bengal,Urban,25.19,4188657,69.65
02-05-2025,West Bengal,Rural,27.4,3141341,59.89
03-05-2025,Delhi,Urban,12.95,1139504,59.6
04-05-2025,Karnataka,Rural,7.75,4187810,68.01
05-05-2025,Gujarat,Urban,10.7,2205058,38.12
06-05-2025,Uttar Pradesh,Urban,15.68,1775843,52.62
07-05-2025,Karnataka,Rural,25.45,134701,69.19
08-05-2025,Tamil Nadu,Rural,26.52,3329028,36.61
09-05-2025,Delhi,Urban,5.17,1821610,58.01
10-05-2025,Maharashtra,Rural,17.77,2280712,53.43
11-05-2025,Karnataka,Urban,15.44,2439767,53.46
12-05-2025,Delhi,Urban,10.55,2714235,57.91
13-05-2025,Karnataka,Urban,8,591036,67.18
14-05-2025,Delhi,Urban,13.44,427304,61.3
15-05-2025,Uttar Pradesh,Urban,28.57,2562616,32.25
16-05-2025,Gujarat,Rural,13.08,2810241,64.11
17-05-2025,Gujarat,Rural,17.97,3533803,39.02
18-05-2025,Maharashtra,Urban,22.58,1242953,45.08
19-05-2025,Rajasthan,Urban,14.09,4061352,48.47
20-05-2025,Gujarat,Rural,29.29,4078702,49.24
21-05-2025,Delhi,Rural,29.06,4159175,47.41
22-05-2025,Karnataka,Urban,11.29,426916,67.49
23-05-2025,Maharashtra,Urban,17.43,3697706,58.24
24-05-2025,Uttar Pradesh,Urban,12.52,4606554,55.25
25-05-2025,Uttar Pradesh,Rural,12.12,705409,31.99
26-05-2025,Uttar Pradesh,Urban,5.92,1174135,66.16
27-05-2025,Delhi,Urban,20.24,3089179,66.38
28-05-2025,Uttar Pradesh,Rural,17.57,1825690,61.21
29-05-2025,Rajasthan,Rural,6.29,3380772,30.28
30-05-2025,Gujarat,Urban,11.97,4257893,32.29
31-05-2025,Uttar Pradesh,Urban,27.71,503119,39.01
01-06-2025,Maharashtra,Rural,10.99,4266769,35.25
02-06-2025,Uttar Pradesh,Rural,8.62,4420295,45.95
03-06-2025,Karnataka,Urban,17.24,502732,66.9
04-06-2025,Gujarat,Urban,29.64,606079,48.88
05-06-2025,Uttar Pradesh,Rural,11.05,2050013,30.54
06-06-2025,West Bengal,Urban,21.8,2723836,41.31
07-06-2025,Tamil Nadu,Rural,24.04,1232658,31.78
08-06-2025,Uttar Pradesh,Rural,10.94,2085209,31.45
09-06-2025,Gujarat,Urban,23.21,4422626,41.03
10-06-2025,Gujarat,Rural,14.19,756951,41.02
11-06-2025,Delhi,Urban,20.81,111303,61.49
12-06-2025,Rajasthan,Urban,20.84,1310209,68.99
13-06-2025,Karnataka,Rural,18.39,3579591,44.85
14-06-2025,Delhi,Rural,7.26,2466610,47.16
15-06-2025,West Bengal,Urban,25.88,4280303,63.79
16-06-2025,Delhi,Urban,13.02,1168199,40.73
17-06-2025,Maharashtra,Urban,9.66,4276224,36.26
18-06-2025,West Bengal,Rural,6.02,4784346,64.12
19-06-2025,Gujarat,Urban,19.77,558298,31.86
20-06-2025,Rajasthan,Urban,21.94,1147343,54.79
21-06-2025,Karnataka,Urban,5.41,205228,52.48
22-06-2025,Maharashtra,Rural,17.8,4720650,43.84
23-06-2025,Uttar Pradesh,Urban,10.66,1855692,42.61
24-06-2025,Karnataka,Rural,21.13,984056,60.87
25-06-2025,Tamil Nadu,Rural,9.36,1830228,33.46
26-06-2025,Tamil Nadu,Urban,22.27,2046793,39.47
27-06-2025,Rajasthan,Rural,14.67,1669123,59.3
28-06-2025,Gujarat,Rural,28.42,3379269,51.93
29-06-2025,Maharashtra,Urban,8.44,1826470,35.12
30-06-2025,Uttar Pradesh,Rural,13.53,3440420,65.29
01-07-2025,Rajasthan,Rural,7.84,148874,45.74
02-07-2025,Karnataka,Urban,28.12,1722572,63.11
03-07-2025,Karnataka,Rural,26.93,3320281,61.51
04-07-2025,Tamil Nadu,Rural,11.45,2789784,54.98
05-07-2025,Karnataka,Rural,21.5,809662,49.78
06-07-2025,Uttar Pradesh,Urban,25.43,4972554,69.18
07-07-2025,Delhi,Rural,18.88,570452,35.8
08-07-2025,Karnataka,Urban,18.24,2239686,59.01
09-07-2025,Gujarat,Urban,11.05,2692670,37.65
10-07-2025,Maharashtra,Rural,7.33,4910833,43.53
11-07-2025,West Bengal,Rural,27.43,542061,42.35
12-07-2025,Uttar Pradesh,Urban,27.51,3434732,67.88
13-07-2025,Uttar Pradesh,Rural,20.83,3861675,68.69
14-07-2025,Uttar Pradesh,Urban,13.48,2361286,37.32
15-07-2025,Karnataka,Rural,13.73,588972,30.88
16-07-2025,Maharashtra,Urban,23.15,1223994,58.8
17-07-2025,Maharashtra,Rural,27.43,3181328,46.72
18-07-2025,Delhi,Urban,27.18,4198064,33.55
19-07-2025,Delhi,Rural,24.5,2717703,57.35
20-07-2025,Delhi,Urban,21.05,263038,51.8
21-07-2025,Delhi,Urban,7.1,4063735,69.22
22-07-2025,West Bengal,Rural,9.04,1474572,39.1
23-07-2025,West Bengal,Urban,27.46,2455874,46.16
24-07-2025,Delhi,Rural,20.16,700530,51.7
25-07-2025,Karnataka,Rural,5.23,3748966,61.67
26-07-2025,Rajasthan,Rural,7.54,1177833,51.95
27-07-2025,Uttar Pradesh,Urban,21.59,2677640,54.52
28-07-2025,Karnataka,Urban,5.13,535423,39.05
29-07-2025,West Bengal,Rural,9.02,1292929,63.88
30-07-2025,Gujarat,Urban,18.72,423390,47.15
31-07-2025,Tamil Nadu,Urban,22.3,1764221,35.64
01-08-2025,Gujarat,Urban,21.3,4168316,56.57
02-08-2025,Rajasthan,Urban,10.61,1756671,38.64
03-08-2025,Uttar Pradesh,Rural,22.8,238563,33.9
04-08-2025,Maharashtra,Urban,10.93,883066,64.48
05-08-2025,Gujarat,Rural,13.13,1654623,48.41
06-08-2025,Delhi,Rural,23.66,4999856,59.97
07-08-2025,Delhi,Rural,21.24,4155957,41.62
08-08-2025,Rajasthan,Urban,26.23,697897,61.48
09-08-2025,Rajasthan,Rural,21.44,4041237,34.48
10-08-2025,West Bengal,Rural,19.21,872800,44.24
11-08-2025,West Bengal,Rural,7.34,2142999,69.12
12-08-2025,Gujarat,Rural,14.19,3622554,61.76
13-08-2025,Karnataka,Urban,11.63,3759985,49.89
14-08-2025,West Bengal,Rural,11.1,2002897,43.59
15-08-2025,Tamil Nadu,Urban,29.33,3676511,64.89
16-08-2025,Uttar Pradesh,Urban,14.83,1263950,51.79
17-08-2025,Gujarat,Urban,27.3,649148,60.34
18-08-2025,Maharashtra,Rural,20.78,2873707,60.16
19-08-2025,West Bengal,Urban,24.87,4778394,30.72
20-08-2025,Maharashtra,Rural,17.57,2873939,35.05
21-08-2025,Rajasthan,Rural,19.42,2035740,56.39
22-08-2025,Rajasthan,Rural,17.31,3534955,36.46
23-08-2025,Tamil Nadu,Urban,9.88,2845226,40.22
24-08-2025,Delhi,Urban,23.06,3277326,67.87
25-08-2025,Rajasthan,Rural,12.02,1654510,52.41
26-08-2025,West Bengal,Rural,5.61,1930815,60.03
27-08-2025,Tamil Nadu,Rural,21.14,3863122,52.32
28-08-2025,Gujarat,Urban,9.43,2486378,52.1
29-08-2025,Rajasthan,Urban,28.51,4521590,33.77
30-08-2025,Gujarat,Rural,28.85,2634937,43.75
31-08-2025,Maharashtra,Urban,27.87,3257473,41.3
01-09-2025,Maharashtra,Rural,14.25,912461,45.63
02-09-2025,Gujarat,Rural,5.39,4527036,61.93
03-09-2025,Gujarat,Urban,28.21,4155555,44.88
04-09-2025,Gujarat,Urban,15.7,1818224,48.07
05-09-2025,Tamil Nadu,Rural,29.17,2810626,45.9
06-09-2025,Tamil Nadu,Rural,29.09,1024044,33.74
07-09-2025,Delhi,Urban,26.33,3081352,47.64
08-09-2025,Gujarat,Urban,12.36,1486652,37.82
09-09-2025,Maharashtra,Urban,14.63,385555,37.47
10-09-2025,Delhi,Urban,26.28,544191,33.76
11-09-2025,Tamil Nadu,Urban,12.92,1602337,44.27
12-09-2025,Rajasthan,Rural,9.24,3586669,60.3
13-09-2025,Uttar Pradesh,Rural,18.92,1020597,41.06
14-09-2025,West Bengal,Rural,28.4,2143338,42.49
15-09-2025,Rajasthan,Urban,22.4,3822946,55.71
16-09-2025,Karnataka,Urban,19.25,1586205,37.83
17-09-2025,Maharashtra,Urban,7.43,2965899,65.88
18-09-2025,Rajasthan,Rural,20.38,324695,50.81
19-09-2025,Karnataka,Rural,29.75,3081467,47.9
20-09-2025,Uttar Pradesh,Rural,8.5,3541628,52.31
21-09-2025,Delhi,Rural,17.96,1201844,36.64
22-09-2025,Tamil Nadu,Urban,26.93,4867493,54.54
23-09-2025,Maharashtra,Urban,23.52,1510706,44.52
24-09-2025,Rajasthan,Urban,22.43,3440216,65.89
25-09-2025,Karnataka,Urban,22.56,3933284,36.75
26-09-2025,Gujarat,Rural,13.99,4957088,50.28
27-09-2025,Karnataka,Urban,12.34,1947865,53.92
28-09-2025,Uttar Pradesh,Rural,25.23,1019484,31.34
29-09-2025,Maharashtra,Urban,25.25,4997954,44.55
30-09-2025,Maharashtra,Rural,26.68,4117136,59.31
01-10-2025,Maharashtra,Rural,27.83,444855,62.82
02-10-2025,Rajasthan,Urban,17.78,1174961,42.53
03-10-2025,Uttar Pradesh,Urban,17.54,4725678,61.94
04-10-2025,West Bengal,Urban,24.96,3661963,68.71
05-10-2025,Tamil Nadu,Rural,21.25,2477935,64.27
06-10-2025,Rajasthan,Rural,22.55,1234106,34.71
07-10-2025,Karnataka,Urban,24.89,4578011,59.59
08-10-2025,West Bengal,Rural,27.25,2574968,42.79
09-10-2025,West Bengal,Rural,13.45,2542266,69.54
10-10-2025,Gujarat,Urban,14.39,4537677,49.41
11-10-2025,Karnataka,Urban,7.35,4642001,34.9
12-10-2025,Uttar Pradesh,Rural,19.46,1318758,59.01
13-10-2025,Karnataka,Urban,5.9,1755743,42.92
14-10-2025,Maharashtra,Rural,16.64,4077019,69.88
15-10-2025,Uttar Pradesh,Rural,18.57,3168281,69.19
16-10-2025,Uttar Pradesh,Urban,12.16,4625208,56.25
17-10-2025,Delhi,Rural,19.77,618349,35.19
18-10-2025,Rajasthan,Rural,5.76,2981990,57.47
19-10-2025,Delhi,Rural,5.93,897968,33.72
20-10-2025,Maharashtra,Rural,25.57,179083,31.17
21-10-2025,Maharashtra,Rural,14,2755971,62.92
22-10-2025,Delhi,Rural,8.18,4097615,38.39
23-10-2025,Gujarat,Rural,18.06,2974299,45.16
24-10-2025,Tamil Nadu,Rural,24.25,4948341,68.94
25-10-2025,Karnataka,Rural,10.4,1904673,43.47
26-10-2025,Karnataka,Rural,20.57,3038199,41.86
27-10-2025,Rajasthan,Rural,7.13,709996,66.73
28-10-2025,Maharashtra,Urban,6.29,878513,34.43
29-10-2025,Rajasthan,Rural,18.28,3403389,60.38
30-10-2025,Gujarat,Rural,18.52,4454385,69.52
31-10-2025,West Bengal,Rural,20.94,488590,66.05
01-11-2025,Gujarat,Urban,23.15,1865982,56.07
02-11-2025,Delhi,Rural,29.4,2878655,42.56
03-11-2025,Rajasthan,Rural,17.91,3251882,40.17
04-11-2025,Tamil Nadu,Rural,13.07,3310016,62.77
05-11-2025,West Bengal,Rural,24.88,2479877,65.19
06-11-2025,Uttar Pradesh,Rural,11.77,2489383,51.02
07-11-2025,Rajasthan,Urban,15.97,264053,39.77
08-11-2025,Tamil Nadu,Rural,6.96,4887890,34.52
09-11-2025,Maharashtra,Urban,5.63,1536536,33.49
10-11-2025,Rajasthan,Rural,29.07,2642637,58.76
11-11-2025,Gujarat,Urban,25.9,3490926,46.8
12-11-2025,Gujarat,Urban,22.4,3713263,66.21
13-11-2025,Uttar Pradesh,Urban,15.22,4258549,59.59
14-11-2025,Rajasthan,Urban,9.33,1446208,37.65
15-11-2025,Tamil Nadu,Rural,8.91,4630889,54.55
16-11-2025,Tamil Nadu,Rural,11.26,1878599,47.42
17-11-2025,Tamil Nadu,Urban,18.73,122431,53.09
18-11-2025,West Bengal,Urban,22.86,1343131,59.52
19-11-2025,West Bengal,Rural,21.5,747008,62.25
20-11-2025,Tamil Nadu,Rural,12,673441,63.75
21-11-2025,Maharashtra,Rural,28.87,4562816,40.16
22-11-2025,Rajasthan,Urban,23.45,4470380,31.24
23-11-2025,Tamil Nadu,Urban,18.86,2149949,59.57
24-11-2025,Uttar Pradesh,Rural,20.29,1368300,34.25
25-11-2025,Gujarat,Urban,15.49,2047763,42.6
26-11-2025,Uttar Pradesh,Urban,11.19,1729849,30.15
27-11-2025,Uttar Pradesh,Urban,13.9,1985077,57.27
28-11-2025,Rajasthan,Urban,23.95,3982149,36.69
29-11-2025,Maharashtra,Rural,5.36,4973062,56.21
30-11-2025,West Bengal,Rural,7.9,150861,69.67
01-12-2025,Tamil Nadu,Rural,6.15,4945710,32.91
02-12-2025,Gujarat,Urban,6.02,4100737,33.08
03-12-2025,West Bengal,Urban,26.39,821001,43.62
04-12-2025,Gujarat,Urban,22.59,2091083,64.66
05-12-2025,Maharashtra,Rural,16.85,4619216,38.62
06-12-2025,Karnataka,Urban,7.45,1723911,44.42
07-12-2025,Tamil Nadu,Urban,17.29,1543717,32.74
08-12-2025,Rajasthan,Urban,16.84,4509352,60.53
09-12-2025,West Bengal,Rural,9.33,2957733,46.33
10-12-2025,Delhi,Rural,15.85,1305663,60.37
11-12-2025,Maharashtra,Urban,14.96,133320,66.14
12-12-2025,Karnataka,Rural,20.4,427025,39.31
13-12-2025,Rajasthan,Urban,20.88,464359,62.3
14-12-2025,Tamil Nadu,Rural,6.13,1408507,32.36
15-12-2025,Uttar Pradesh,Urban,14.37,4166621,65.95
16-12-2025,Karnataka,Urban,20.65,1043187,56.03
17-12-2025,Karnataka,Rural,17.58,4093710,64.97
18-12-2025,Karnataka,Urban,26.41,1697690,30.01
19-12-2025,Tamil Nadu,Urban,21.47,200734,36.76
20-12-2025,Tamil Nadu,Urban,9.07,257702,45.59
21-12-2025,Delhi,Rural,6.76,2951274,45.18
22-12-2025,Gujarat,Rural,21.06,1325811,39.07
23-12-2025,Gujarat,Rural,5.66,1247087,45.26
24-12-2025,Delhi,Urban,19.64,3181091,35.15
25-12-2025,Delhi,Urban,28.51,3929049,46.51
26-12-2025,Rajasthan,Rural,19.39,2803381,62.09
27-12-2025,Delhi,Urban,14.7,1968670,49.16
28-12-2025,Maharashtra,Rural,21.08,4393122,30.72
29-12-2025,Delhi,Rural,16.46,4446664,46.86
30-12-2025,Rajasthan,Urban,18.64,4913673,31.09
31-12-2025,Gujarat,Rural,28.54,4855469,68.65
01-01-2026,Gujarat,Urban,14.65,1032817,35.1
02-01-2026,Delhi,Urban,29.03,4435702,58.31
03-01-2026,Tamil Nadu,Rural,27.63,3378360,68.91
04-01-2026,Maharashtra,Rural,9.89,3062732,63.04
05-01-2026,Maharashtra,Rural,6.73,2280338,57.97
06-01-2026,Tamil Nadu,Urban,7.52,2092825,63.58
07-01-2026,West Bengal,Urban,5.46,3932978,69.27
08-01-2026,Gujarat,Urban,7.36,4215811,54.85
09-01-2026,Rajasthan,Rural,22.08,694604,52.37
10-01-2026,West Bengal,Rural,6.78,2149927,55.13
11-01-2026,West Bengal,Urban,12.97,3274108,51.31
12-01-2026,Karnataka,Rural,26.12,2831638,55.4
13-01-2026,Tamil Nadu,Urban,5.58,364500,47.99
14-01-2026,West Bengal,Urban,25.36,2267478,38.74
15-01-2026,Delhi,Urban,12.05,3076031,34.81
16-01-2026,Karnataka,Urban,7.95,739282,32.73
17-01-2026,Rajasthan,Urban,22.42,3003633,40.53
18-01-2026,Karnataka,Urban,20.72,2040369,31.84
19-01-2026,Karnataka,Rural,26.94,4048242,52.69
20-01-2026,Maharashtra,Urban,23.38,1317060,41.35
21-01-2026,Tamil Nadu,Urban,25.09,1131519,62.98
22-01-2026,Gujarat,Urban,12.05,889352,32.97
23-01-2026,West Bengal,Urban,9.44,4778714,39.05
24-01-2026,Delhi,Urban,23.77,1490281,59.21
25-01-2026,West Bengal,Rural,25.17,4041106,53.95
26-01-2026,West Bengal,Rural,29.76,2422466,32.58
27-01-2026,West Bengal,Urban,15.32,1951317,65.09
28-01-2026,Karnataka,Urban,14.3,2046830,65.09
29-01-2026,Gujarat,Rural,24.41,2714150,43.22
30-01-2026,Maharashtra,Rural,13.52,1668560,43.62
31-01-2026,Tamil Nadu,Rural,28.27,4760061,69.56
01-02-2026,Rajasthan,Urban,26.46,2705214,55.05
02-02-2026,Gujarat,Urban,15.72,2329180,51.25
03-02-2026,Karnataka,Rural,23.77,2428599,63.53
04-02-2026,Maharashtra,Rural,23.86,1095843,41.41
05-02-2026,Uttar Pradesh,Urban,7.58,4288891,47.17
06-02-2026,Delhi,Rural,27.56,726045,40.71
07-02-2026,Rajasthan,Rural,17.63,4131419,61.57
08-02-2026,Delhi,Urban,25.66,4595511,52.93
09-02-2026,Tamil Nadu,Rural,13,1524945,56.35
10-02-2026,Karnataka,Urban,27.39,1491538,40.09
11-02-2026,Tamil Nadu,Urban,14.73,2463999,38.81
12-02-2026,Maharashtra,Urban,5.27,820488,49.53
13-02-2026,West Bengal,Rural,27.63,4890691,59.5
14-02-2026,Tamil Nadu,Rural,7.28,519065,51.01
15-02-2026,Uttar Pradesh,Rural,12.98,2884372,31.31
16-02-2026,Gujarat,Urban,28.75,4325889,64.74
17-02-2026,Karnataka,Rural,28.77,1563807,32.59
18-02-2026,Rajasthan,Urban,19.34,3192195,68.23
19-02-2026,Karnataka,Rural,20.8,1716449,31.01
20-02-2026,Delhi,Urban,16.21,389102,57.78
21-02-2026,Rajasthan,Rural,12.33,1436737,33.29
22-02-2026,Uttar Pradesh,Urban,13.22,3160006,66.43
23-02-2026,Tamil Nadu,Urban,21.81,2477074,48.58
24-02-2026,Tamil Nadu,Rural,23.81,2897753,35.5
25-02-2026,Karnataka,Rural,24.79,1190805,43.63
26-02-2026,Rajasthan,Urban,24.74,4543778,36.59
27-02-2026,Tamil Nadu,Rural,7.28,4262065,36.82
28-02-2026,West Bengal,Urban,17.36,3110087,67.92
01-03-2026,Rajasthan,Urban,6.44,360116,47.81
02-03-2026,Karnataka,Urban,18.74,3068462,61.55
03-03-2026,Gujarat,Rural,16.04,3142146,55.58
04-03-2026,Gujarat,Urban,27.19,2718137,57.06
05-03-2026,Maharashtra,Rural,13.77,4314279,35.27
06-03-2026,Gujarat,Rural,7.93,4452099,39.37
07-03-2026,Uttar Pradesh,Rural,8.57,3662223,61.47
08-03-2026,Delhi,Rural,24.04,1357949,68.83
09-03-2026,Rajasthan,Rural,20.46,3071981,40.51
10-03-2026,Rajasthan,Urban,7.53,3950241,40.86
11-03-2026,Delhi,Rural,7.1,4059076,48.92
12-03-2026,Uttar Pradesh,Urban,22.52,3834340,69.35
13-03-2026,West Bengal,Urban,6.82,3421765,40.76
14-03-2026,West Bengal,Rural,25.55,488076,46.28
15-03-2026,Rajasthan,Rural,22.66,4984797,65.66
16-03-2026,Delhi,Rural,7.03,3209244,30.12
17-03-2026,West Bengal,Urban,7.12,4916909,31.59
18-03-2026,Uttar Pradesh,Urban,29.67,2298611,54.16
19-03-2026,Delhi,Rural,14.36,2060826,66.3
20-03-2026,Tamil Nadu,Rural,14.27,2944664,39.55
21-03-2026,Maharashtra,Rural,25.32,2713275,48.79
22-03-2026,Tamil Nadu,Urban,28.68,1478369,48.02
23-03-2026,West Bengal,Urban,29.65,2523970,48.92
24-03-2026,Maharashtra,Rural,23.83,2190212,54.9
25-03-2026,Delhi,Rural,14.41,4271774,48.79
26-03-2026,Rajasthan,Rural,7.09,2341984,47.9
27-03-2026,Rajasthan,Rural,24.43,252999,48.97
28-03-2026,West Bengal,Rural,18.96,4642923,53.63
29-03-2026,West Bengal,Urban,15.61,161367,51.48
30-03-2026,Rajasthan,Urban,27.66,853315,64.17
31-03-2026,Delhi,Urban,7.78,4700108,31.98
01-04-2026,West Bengal,Urban,17.32,3105334,63.33
02-04-2026,Maharashtra,Urban,5.28,2954190,63.76
03-04-2026,Rajasthan,Rural,16.72,1384382,41.4
04-04-2026,Rajasthan,Urban,6.41,3953321,48.51
05-04-2026,Delhi,Rural,7.97,2754837,47.54
06-04-2026,West Bengal,Rural,7.94,3584239,38.74
07-04-2026,Tamil Nadu,Urban,21.23,1142377,45.87
08-04-2026,Uttar Pradesh,Urban,23.65,4677033,31.78
09-04-2026,West Bengal,Rural,19.58,3357181,41.11
10-04-2026,Tamil Nadu,Rural,29.05,1023780,62.67
11-04-2026,Tamil Nadu,Urban,14.37,2966451,41.38
12-04-2026,Maharashtra,Urban,12.14,2568152,62.73
13-04-2026,Karnataka,Rural,26.71,4507871,51.26
